OCP,OCP_NAME,2024,2030,2040
1493,金属工作機械作業従事者,0.32118129,0.7693565,0.96735662
1494,金属プレス従事者,0.41424506,0.77903595,0.97040884
1495,鉄工，製缶従事者,0.23595789,0.74604367,0.96725417
1496,板金従事者,0.26917709,0.69274284,0.9378773
1497,金属彫刻・表面処理従事者,0.35638946,0.76824015,0.95719197
1498,金属溶接・溶断従事者,0.43988632,0.73741664,0.97627678
1499,その他の製品製造・加工処理従事者（金属製品）,0.23987431,0.73716947,0.96624446
1501,化学製品製造従事者,0.21689749,0.70174178,0.93063582
1502,窯業・土石製品製造従事者,0.33688014,0.76231594,0.93305227
1503,食料品・飲料・たばこ製造従事者,0.35740794,0.7540778,0.96617717
1505,紡織・衣服・繊維製品製造従事者,0.4056829,0.78162781,0.97036406
1506,木・紙製品製造従事者,0.34260003,0.80440439,0.97141397
1507,印刷・製本従事者,0.37660131,0.81081525,0.9771715
1508,ゴム・プラスチック製品製造従事者,0.29584751,0.75190121,0.94036548
1509,その他の製品製造・加工処理従事者（金属製品を除く）,0.25965235,0.75233415,0.9478701
1511,はん用・生産用・業務用機械器具組立従事者,0.25835193,0.73710625,0.93091567
1512,電気機械器具組立従事者,0.33112204,0.76091311,0.97951776
1513,自動車組立従事者,0.34434316,0.79539314,0.99572321
1514,その他の機械組立従事者,0.33537387,0.76385649,0.97175486
1551,はん用・生産用・業務用機械器具・電気機械器具整備・修理従事者,0.20302041,0.69586579,0.93384666
1553,自動車整備・修理従事者,0.23829814,0.64054631,0.92066469
1554,その他の機械整備・修理従事者,0.10483831,0.44691447,0.78582341
1561,製品検査従事者（金属製品）,0.3522232,0.75370184,0.99613565
1571,製品検査従事者（金属製品を除く）,0.31253004,0.79346094,0.99309418
1581,機械検査従事者,0.20302041,0.69586579,0.93384666
1591,画工，塗装・看板制作従事者,0.28770119,0.70828829,0.94928181
1592,製図その他生産関連・生産類似作業従事者,0.13158224,0.41091925,0.8636782
1601,鉄道運転従事者,0.43052505,0.82446934,0.96804758
1611,バス運転者,0.45167335,0.82318622,0.9800683
1612,タクシー運転者,0.41029946,0.78412319,0.90188694
1613,乗用自動車運転者（タクシー運転者を除く）,0.41029946,0.78412319,0.90188694
1614,営業用大型貨物自動車運転者,0.46221533,0.80660358,0.99323712
1615,営業用貨物自動車運転者（大型車を除く）,0.46221533,0.80660358,0.99323712
1616,自家用貨物自動車運転者,0.46221533,0.80660358,0.99323712
1619,その他の自動車運転従事者,0.46221533,0.80660358,0.99323712
1624,航空機操縦士,0.10023426,0.50793217,0.80734766
1631,車掌,0.38151208,0.74020047,0.93014739
1639,他に分類されない輸送従事者,0.31266165,0.69433658,0.90395654
1641,発電員，変電員,0.11715877,0.50481465,0.92694406
1643,クレーン・ウインチ運転従事者,0.27168819,0.60358213,0.91887911
1645,建設・さく井機械運転従事者,0.24129747,0.60999018,0.91589965
1649,その他の定置・建設機械運転従事者,0.30914593,0.75981868,0.97446665
1651,建設躯体工事従事者,0.30392966,0.69305595,0.91210382
1661,大工,0.36956214,0.73501086,0.94516657
1666,配管従事者,0.26825783,0.68455531,0.917345
1669,その他の建設従事者,0.25961494,0.71650485,0.93839374
1671,電気工事従事者,0.14670446,0.59480446,0.91635065
1681,土木従事者，鉄道線路工事従事者,0.32130433,0.69491457,0.95894926
1691,ダム・トンネル掘削従事者，採掘従事者,0.24129747,0.60999018,0.91589965
1702,船内・沿岸荷役従事者,0.43726828,0.85134733,0.99276291
1703,その他の運搬従事者,0.48913119,0.81085924,0.93956178
1711,ビル・建物清掃員,0.54535265,0.83671484,0.98662689
1712,清掃員（ビル・建物を除く），廃棄物処理従事者,0.43280662,0.82353934,0.94492394
1721,包装従事者 ,0.54612685,0.76763236,0.99366374
1739,他に分類されない運搬・清掃・包装等従事者,0.5043864,0.81442018,0.99775339
