year,t_ai,L,RY,RK,W_PY,UCAP,UCAP_source,log_L,log_RY,log_RK,log_W_PY,log_UCAP,A_LABOR_hat,fitted_log_L,fitted_L,residual_log_L
2016,1,6800220.55722,566738.6340468909,755926.3,0.9560770346585119,0.9904029376,JIP_SNA_equal_weight,15.732465604505629,13.247653513553576,13.53569916363704,-0.044916788990416685,-0.0096434109818908,1.013706455219354,15.75566286834194,6959810.9413459115,-0.02319726383631071
2017,2,6880357.853036,576064.2201834864,763930.4,0.9626830610601427,1.0044679415,JIP_SNA_equal_weight,15.744181222079545,13.263974426837212,13.54623196452241,-0.03803103759541307,0.004457989880534917,1.0276007773533882,15.761733759370841,7002191.709500784,-0.017552537291296133
2018,3,6956978.5059320005,580768.8775510205,774702.1,0.985489252755102,0.95140324185,JIP_SNA_equal_weight,15.755255815341139,13.27210815557319,13.560233847343053,-0.014617057821629802,-0.049817287537585526,1.0416855413915558,15.751354483928067,6929889.9023151025,0.003901331413072029
2019,4,6902546.72625,579369.807497467,783363.9,0.996432731408308,0.9109905609000001,JIP_SNA_equal_weight,15.747400992231118,13.269696253013926,13.571352617967518,-0.003573646466540586,-0.0932227430272289,1.0559633576172878,15.736614013954293,6828489.250950293,0.0107869782768244
2020,5,6710000,554074.4,785491.9,1,0.86156675245,JIP_SNA_equal_weight,15.719109508947865,13.225054252741398,13.574065424721399,0,-0.1490027420344536,1.0704368720917479,15.683377816995698,6474473.289535558,0.035731691952166855
2021,6,6790664.838447,574142.942942943,789000.5,0.9970248302302301,0.8339367949,SNA_only,15.731059409093127,13.260633673816322,13.578522233541372,-0.00297960438535638,-0.18159766498686256,1.0851087671442188,15.713639217880417,6673394.559426697,0.01742019121271099
2022,7,6788732.236614,581412.1272365806,794844.7,1.0088279840954273,0.8372201753,SNA_only,15.730774771736202,13.273215125569422,13.585902028642021,0.008789245267398377,-0.17766819015789598,1.0999817618692096,15.713529432766283,6672661.960258307,0.017245338969919644
2023,8,6821258.554772999,586139.8667935301,801669.7,0.9759924709800192,0.9789178516,SNA_only,15.73555455161747,13.281313720614516,13.594451956630515,-0.024300406758615264,-0.021307550493251115,1.115058612630376,15.73136296875435,6792726.523271175,0.004191582863120047
2024,9,6791299.030267,584540.0921658986,820134.4,0.9816967778801844,0.9722330637995836,HJ_growth_extension,15.731152796445148,13.27858064978469,13.617223508248923,-0.018472798472826478,-0.028159725692157425,1.1303421135713494,15.718908874736362,6708653.87948425,0.012243921708785521
2025,10,6742633.2290664,591584.0463458111,NA,0.9849472352941177,NA,NA,15.723961093395376,13.290559042494063,NA,-0.015167207474199189,NA,1.1458350971335651,15.722427080130501,6732297.869568872,0.0015340132648749005
