year,data_type,POP,RY,D_GDP,D_C,P,PG,PG_TFP,A_LABOR,PartRate,ADD_LFPR,U_rate,W,H,LS,MHS,E,L,MHD,E_RY,MHD_RY,E_est,U
2013,actual,111024,547980.0851970181,0.9390000000000001,0.95,0.9490000000000001,1,1.2,0.9718832077827366,0.5938355670845943,0,0.04049749734566965,0.9145775302,107.7,65930,7100661,63260,6813102,6813102,0.1154421514739095,12.433119713740053,63260,2670
2014,actual,111004,553105.3403141361,0.955,0.9690000000000001,0.975,1.1,1,0.985841370496662,0.5953839501279233,0,0.03601149947041912,0.92264678470000006,107.3,66090,7091457,63710,6836083,6836083,0.11518601495298511,12.359459404455302,63710,2380
2015,actual,111208,562940.2051282051,0.975,0.9740000000000001,0.982,1,0.8,1,0.595730522983958,0,0.03366037735849057,0.9270346118,106.9,66250,7082125,64020,6843738,6843738,0.11372433415982423,12.157131321685211,64020,2230
2016,actual,111233,566738.6340468909,0.981,0.971,0.981,0.9,0.6,1.0143619753918474,0.6003614035403163,0,0.031147050014974545,0.9379115710000001,106.3,66780,7098714,64700,6877610,6877610,0.11416197187405235,12.135417610211764,64700,2080
2017,actual,111278,576064.2201834864,0.981,0.976,0.986,0.7,0.4,1.0289302171208505,0.6049713330577473,0,0.028223410576351752,0.9443920829,106.1,67320,7142652,65420,6941062,6941062,0.11356372728575749,12.04911146501887,65420,1900
2018,actual,111276,580768.8775510205,0.98,0.983,0.995,0.5,0.4,1.0437076875790683,0.615496603041087,0,0.024383121623594687,0.9657794677,105.2,68490,7205148,66820,7029464,7029464,0.11505437461071573,12.103720209047294,66820,1670
2019,actual,111296,579369.807497467,0.987,0.991,1,0.4,0.4,1.0586973917043607,0.621046578493387,0,0.0234375,0.9834791059,102.9,69120,7112448,67500,6945750,6945750,0.11650589852370777,11.988456958089529,67500,1620
2020,actual,111114,554074.4,1,1,1,0.4,0.5,1.0739023775914316,0.6211638497399068,0,0.02781802376122863,1,100,69020,6902000,67100,6710000,6710000,0.12110286993948827,12.110286993948826,67100,1920
2021,actual,110735,574142.942942943,0.9990000000000001,1.01,0.998,0.4,0.6,1.089325737111646,0.6237413645188965,0,0.028087447517011727,0.9960278054,100.7,69070,6955349,67130,6759991,6759991,0.11692210245745584,11.774055717465803,67130,1940
2022,actual,110463,581412.1272365806,1.006,1.043,1.023,0.5,0.6,1.1049706065417495,0.6248246019028996,0,0.025934511735728773,1.014880952,100.8,69020,6957216,67230,6776784,6776784,0.11563226298622363,11.65573210901134,67230,1790
2023,actual,110206,586139.8667935301,1.051,1.079,1.056,0.4,0.5,1.1208401672016166,0.6283686913598171,0,0.025703971119133574,1.025768087,100.9,69250,6987325,67470,6807723,6807723,0.11510904448300657,11.614502588335363,67470,1780
2024,actual,109929,584540.0921658986,1.085,1.1059999999999999,1.085,0.4,0.4,1.1369376461011602,0.6328630297737631,0,0.025298260744573812,1.065141004,99.891,69570,6949416.87,67810,6773608.71,6773608.71,0.11600572981870814,11.587928357320576,67810,1760
2025,actual,109629,591584.0463458111,1.122,1.139,1.119,0.4,0.3,1.15326631659653,0.6388820476333816,0,0.025128498001142203,1.1051107980000001,98.492526,70040,6898416.52104,68280,6725069.67528,6725069.67528,0.11541893399891796,11.367902357780713,68280,1760
2026,simulation,109306,599703.8273740868,1.1444400000000001,1.16178,1.140261,0.8,0.3,1.1698294990557356,0.6434297650443768,0.046452785208657144,0.019532683210411392,1.1340283510826517,97.16249284683599,70330.73389794065,6833509.429271383,69317.35694163197,6735047.1980028935,6735047.1980028935,0.11558598391000892,11.230622334850743,68956.98595275644,1373.7479451842166
2027,simulation,108944,602669.7216985533,1.15702884,1.17455958,1.1562246539999999,0.7,0.3,1.1866305615338313,0.6516851836366205,0.04180750668779143,0.0193462855911144,1.161229925619122,95.4922564517168,70997.19064610799,6779681.936529573,69924.8585712701,6677282.527037753,6677282.527037753,0.11602517275000171,11.079505551097908,69623.65871970159,1373.531926406401
2028,simulation,108564,605662.123442395,1.165128042,1.182781497,1.168943125,0.6,0.3,1.203672920457794,0.6586090217290101,0.037162228166925715,0.017856520315225992,1.1887996470866855,93.55114807941423,71501.22983498826,6689022.140153218,70645.38325947007,6608956.710433655,6608956.710433655,0.11664157378365299,10.911953141250443,70224.46667187616,1276.7631631121108
2029,simulation,108146,608669.3833185332,1.173283938,1.191060968,1.1818015,0.6,0.3,1.2209600413212418,0.666827763635777,0.03251694964606,0.01674549983262011,1.2180473275715116,91.56837351547242,72114.75532615474,6603430.851682241,71410.29975147649,6538925.000495046,6538925.000495046,0.1173219841650973,10.74298326760597,70907.15770291118,1207.5976232435644
2030,simulation,107719,611691.5747269578,1.181496926,1.199398394,1.1948013160000002,0.6,0.3,1.2384954393891263,0.6750432697612139,0.027871671125194286,0.016315705104274915,1.2484204563069796,89.76942556016996,72714.9859754082,6527582.520628209,72059.58294924104,6468747.367458787,6468747.367458787,0.11780378531681827,10.575178136704363,71528.58970757195,1186.3962678362464
2031,simulation,107255,614728.7724819868,1.189767404,1.207794183,1.207944131,0.5,0.3,1.256282680412548,0.6827533265702275,0.023226392604328572,0.016774543438336082,1.279106863195953,88.29917253427145,73228.70804128975,6466034.325799635,72480.29013326328,6399949.643811067,6399949.643811067,0.11790612930093027,10.41101365399096,72000.3298973179,1228.3781439718457
2032,simulation,106740,617781.0502521961,1.198095776,1.2162487419999999,1.221231516,0.5,0.3,1.2743253813538369,0.6893877617905592,0.018581114083462857,0.017970374378618037,1.309362408685193,87.20317595791957,73585.24969352428,6416867.476931845,72641.32447403893,6334554.199925946,6334554.199925946,0.1175842548818625,10.253720468343918,72262.89520778756,1322.3544857367194
2033,simulation,106192,620848.4836919045,1.2064824459999999,1.224762484,1.234665063,0.5,0.3,1.2926272111220471,0.694739489662615,0.013935835562597145,0.019738564073781724,1.3385417889954236,86.443534014239,73775.7758862524,6377438.792250134,72576.57852235975,6273775.934134693,6273775.934134693,0.11689901872801516,10.10516430164634,72319.54800682866,1456.2278794237538
2034,simulation,105591,623314.614284445,1.2149278239999999,1.233335821,1.2482463780000002,0.4,0.3,1.3111918913190141,0.6986621121990608,0.009290557041731427,0.02201537716711477,1.3660163853108174,85.94538848125403,73772.43108921104,6340400.249168784,72282.90502062491,6212382.352551195,6212382.352551195,0.11596536221696728,9.966688106106592,72148.30319424707,1624.1278949639643
2035,simulation,104948,625790.5416064054,1.223432318,1.2419691720000001,1.261977089,0.4,0.3,1.3300231969961276,0.7014062540240057,0.0046452785208657135,0.02413590442764704,1.391820223816981,85.62502198403882,73611.18354731135,6302959.209509651,71889.72996646573,6155559.708805243,6155559.708805243,0.11487826227274812,9.836453732592235,71834.51105640746,1776.6724909038908
2036,simulation,104297,628176.2844840258,1.231996345,1.250662956,1.275858836,0.4,0.3,1.3491249574219721,0.703305285590623,0,0.026093568774188104,1.4160126969332338,85.42092515594074,73352.63137124521,6265849.634354448,71437.8652575185,6102288.541462666,6102288.541462666,0.11372263968257962,9.71429309286165,71438.59943979196,1914.0319314532546
2037,simulation,103601,630474.4493710005,1.240620319,1.2594175970000001,1.2898932840000001,0.4,0.3,1.3685010568609934,0.7053611535761403,0,0.028242693438670557,1.4382852139194031,85.29028747178307,73076.1208716417,6232683.356465088,70961.79348399688,6052351.765763397,6052351.765763397,0.11255300441563121,9.599678102422057,71012.25439217669,2063.8664794650117
2038,simulation,102871,632693.3382024739,1.249304661,1.26823352,1.30408211,0.4,0.3,1.388155435363348,0.7065181887946211,0,0.029449382914528126,1.4595749543362155,85.20561621336076,72680.23259949147,6192764.005170061,70480.28454204317,6005316.075297792,6005316.075297792,0.11139722877797732,9.491669522488282,70539.84459935207,2140.3880001393945
2039,simulation,102145,634830.4749215674,1.258049794,1.277111154,1.318427013,0.4,0.3,1.4080920895660956,0.7076770296265366,0,0.03067279902615243,1.479809502735079,85.14958188007228,72285.67019120257,6155094.592701703,69992.70604917509,5959849.654742065,5959849.654742065,0.11025416833970142,9.388096334660679,70068.46635695708,2217.2038342454944
2040,simulation,101418,636888.9804853627,1.266856142,1.286050932,1.33292971,0.4,0.3,1.4283150735058985,0.7084317861797157,0,0.03151212113117715,1.4993721699845821,85.1116086289667,71847.7348907744,6115076.292901346,69503.40434744362,5915546.5492004445,5915546.5492004445,0.10912954451571169,9.288191082678653,69583.66036589562,2264.0745248787857
