...1,RK,I,RI,I_DEF,Y,RY,Y_DEF,EC,E,H,r,Tau,Delta,JIP_UC,SNA_UC,pi_k_exp,uc_hj_real,uc_hj_nominal,tau_rate,uc_hj_real_tax,uc_hj_nominal_tax
1994,623503.9,89003.3,74650.9,119.2,521675.1,464267.4,112.4,261625.6,5356.5,1909.1,4.363333333,66.80158041,NA,139.428772,115.9181222,NA,NA,NA,0.6680158040999999,NA,NA
1995,633070.2,91924.2,78359.3,117.3,530463.2,475140.8,111.6,266004.1,5379.5,1911.6,3.4435,69.36932372,13.2088829,139.5070513,116.5932909,-1.593959731543626,18.246342631543627,21.402959906800675,0.6936932372,59.568853344114366,69.87426497264616
1996,652745.4,96951.9,83554.8,116,546227.9,489753.6,111.5,270691.5,5419,1914.8,3.1015,70.61473474,12.20665575,142.6004786,118.7784408,-1.1082693947144007,16.4164251447144,19.043053167868703,0.7061473474000001,55.86617986757082,64.80476864638214
1997,672576.7,99717.6,86803,114.9,554111.8,496428.8,111.6,278752.5,5469.7,1887.1,2.373666667,69.79299833,12.23850831,137.1518767,114.7348685,-0.9482758620689591,15.56045083906896,17.878958014090234,0.6979299833,51.512728767525374,59.188125353886655
1998,683061,94245.8,83086,113.4,543304,487628.9,111.4,274573.3,5425.5,1866.5,1.541416667,74.79504714,12.45382125,132.522912,108.8932963,-1.305483028720622,15.300720945720624,17.35101755244719,0.7479504713999999,60.705215481686956,68.83971435623302
1999,690962.4,87750.6,78994.3,111.1,534107.1,485933.9,109.9,269253.2,5368.7,1850.9,1.749,76.15903758,11.68990764,138.0537421,106.8516949,-2.0282186948853753,15.467126334885375,17.18397735805765,0.7615903758,64.87626658020366,72.07753217060626
2000,701749.3,93225.3,84580.9,110.2,543394.8,500406.6,108.6,269891.9,5374.6,1858.5,1.744416667,74.67910291,11.93095312,136.4525959,109.7649676,-0.8100810081008047,14.485450795100803,15.962966776201087,0.7467910291,57.20749444071454,63.04265887366743
2001,710804.9,91053.1,84581.6,107.7,539441.6,501830.8,107.5,266607.5,5391.9,1843.1,1.319,83.34731278,11.68472844,130.9665464,106.5261881,-2.268602540834841,15.272330980834841,16.44830046635912,0.8334731277999999,91.7109099514741,98.77265001773759
2002,713480.3,84640.2,80298.3,105.4,532390.8,502257.3,106,257436.8,5352.4,1830.6,1.263166667,84.17572783,11.53126547,128.6792592,109.0443458,-2.135561745589598,14.929993882589597,15.736213552249437,0.8417572783,94.3486924529408,99.4435218453996
2003,716599,83039.7,80787.3,102.8,530211.8,509189,104.1,255183.6,5369.6,1834.2,1.00325,73.720976,11.20157067,122.0220132,110.4840611,-2.4667931688804656,14.671613838880466,15.08241902636912,0.7372097599999999,55.83013219547447,57.39337589694776
2004,722919.2,83687.1,82738.3,101.1,534634.1,519947.9,102.8,256593.3,5404.3,1842.7,1.492666667,66.74130388,10.79640078,122.8408234,111.5284542,-1.65369649805448,13.94276394505448,14.096134348450079,0.6674130388,41.92216043211042,42.38330419686363
2005,733117.8,89354,88812.1,100.6,537385.2,529558,101.5,261326.4,5466.8,1830.5,1.35475,64.05861871,10.94941177,119.4842642,109.6654201,-0.4945598417408492,12.798721611740849,12.875513941411294,0.6405861871,35.60998813170781,35.82364806049806
2006,744573.5,91710.1,90929.3,100.9,540566,537746.6,100.5,266138.1,5570.5,1837.3,1.7405,50.53509186,10.94699924,127.9644063,105.2522376,0.29821073558649047,12.38928850441351,12.500792100953234,0.5053509186,25.04662187858156,25.2720414754888
2007,755589.5,92758.7,92376.5,100.4,544571.1,547040.9,99.5,267694.3,5643.5,1826.7,1.6655,45.5865885,10.97845948,130.0143117,104.8242417,-0.49554013875123815,13.139499618751238,13.192057617226242,0.45586588499999997,24.14753873454752,24.24412888948571
2008,761944.2,90952.9,89951.7,101.1,533355.4,540659,98.6,267968.9,5665.1,1805.3,1.467333333,48.1264971,11.19631758,130.8757682,96.27938651,0.6972111553784854,11.966439757621515,12.09807059495535,0.48126497100000004,23.068501428735242,23.322254944451327
2009,754070.8,77307.6,78443.3,98.6,499361.7,508565.8,98.2,254795.6,5625.6,1756.8,1.33375,50.48465614,11.17942757,129.5696294,85.45146132,-2.472799208704257,14.985976778704257,14.776173103802398,0.5048465614,30.26531901116491,29.8416045450086
2010,745677.4,75167.1,77118,97.5,510139.6,529602.4,96.3,252304.1,5647,1775.2,1.148333333,49.82331006,11.08125391,125.6266065,93.83635565,-1.1156186612576002,13.3452059042576,13.01157575665116,0.4982331006,26.596425392379324,25.93151475756984
2011,737122.5,76572.7,79139.4,96.8,501142,528541.3,94.8,252732.3,5647.7,1770.2,1.102416667,50.32505302,11.41614323,114.4835751,89.01306548,-0.7179487179487243,13.236508614948724,12.812940339270364,0.5032505302,26.64624608513014,25.793566210405977
2012,735926.4,79409.3,82412.6,96.4,505377.1,537256.6,94.1,252878.7,5629.3,1782.3,0.835583333,49.51410606,10.93514307,108.2013538,90.61377399,-0.4132231404958553,12.183949543495856,11.745327359930007,0.4951410606,24.133373884546604,23.264572424702926
2013,735587.2,81868,84303.3,97.1,514553.3,547987.1,93.9,254642.2,5668.8,1763,0.689666667,42.86078248,11.17057358,106.4352658,94.10542795,0.7261410788381717,11.134099168161828,10.811210292285136,0.4286078248,19.485914668440543,18.920823143055767
2014,740014.3,88612.8,90047,98.4,528215.6,552951.4,95.5,258856,5701.8,1758.4,0.520333333,36.74975534,11.44469344,101.3442578,93.73994753,1.338825952626177,10.626200820373823,10.456181607247842,0.3674975534,16.800252516800025,16.531448476531228
2015,748231.3,94492,95206.4,99.2,548866.7,562904.4,97.5,261384.7,5733.9,1752.4,0.35,34.10640246,11.65855849,100,100,0.8130081300812941,11.195550359918705,11.105985957039355,0.34106402459999996,16.990346221607595,16.854423451834734
2016,755926.3,94146,95386.2,98.7,555970.6,566872.8,98.1,266925.7,5812.4,1743.9,-0.06625,31.15545196,11.55404753,99.34433738,98.73625014,-0.5040322580645129,11.991829788064512,11.835936000819673,0.3115545196,17.418706534462295,17.192263349514285
2017,763930.4,97331.7,97848.9,99.5,565119,576075.7,98.1,271000.4,5876,1745.1,0.051666667,28.32125045,11.8169721,101.2224319,99.6711564,0.8105369807497542,11.058101786250244,11.002811277318992,0.2832125045,15.427308450095925,15.350171907845445
2018,774702.1,100849.3,100844,100,569153.5,580881,98,279905.7,5989.5,1727.8,0.065,26.80201751,11.79133596,95.31610434,94.96454403,0.5025125628140614,11.353823397185938,11.353823397185938,0.2680201751,15.511115212413197,15.511115212413197
2019,783363.9,101949.7,101731.7,100.2,571838,579089,98.7,284889.7,6058.6,1696.6,-0.110416667,26.75897621,12.04177709,91.4043537,90.79375848,0.20000000000000018,11.731360422999998,11.754823143845998,0.2675897621,16.0174719248009,16.049506868650504
