year,t_ai,L,RY,RK,W_PY,UCAP,UCAP_source,log_L,log_RY,log_RK,log_W_PY,log_UCAP,A_LABOR_hat,fitted_log_L,fitted_L,residual_log_L
2007,-8,7159678,547307.6381909547,755589.5,0.9337531463316583,1.174192767,JIP_SNA_equal_weight,15.783975565858515,13.212766333166462,13.53525351827154,-0.06854317297542334,0.1605809046902944,0.8921878687633792,15.80948234535281,7344647.285136146,-0.025506779494294918
2008,-7,7062718,540928.3975659229,761944.2,0.9506963183569979,1.13577577355,JIP_SNA_equal_weight,15.770340521217086,13.20104219706548,13.543628603641,-0.050560596184871714,0.12731591837810216,0.9050014489794636,15.781863429318847,7144571.741340286,-0.011522908101760265
2009,-6,6755980,508514.96945010184,754070.8,0.9450482517311609,1.0751054536,JIP_SNA_equal_weight,15.725938596573888,13.139249932484061,13.533241541786083,-0.0565192927589389,0.07241875314058466,0.9179990575192928,15.714690913692753,6680416.632434062,0.011247682881135646
2010,-5,6839628,529739.979231568,745677.4,0.9552331285565939,1.0973148107500001,JIP_SNA_equal_weight,15.738243902154851,13.180141559918729,13.522048345978611,-0.04579985462047495,0.09286611437180894,0.9311833373931239,15.742877586564799,6871394.218110485,-0.004633684409947492
2011,-4,6815319,528630.8016877637,737122.5,0.9710875011603376,1.0174832029,JIP_SNA_equal_weight,15.734683430527925,13.178045549768267,13.510509371742026,-0.029338700270612715,0.017332129991962906,0.9445569695700621,15.725554974817584,6753388.756147375,0.009128455710341044
2012,-3,6838920,537063.8682252922,735926.4,0.9641385353878854,0.99407563895,JIP_SNA_equal_weight,15.738140382395205,13.193872301661397,13.50888539271068,-0.03652028578813262,-0.005941979697541684,0.9581226735232252,15.736538544055312,6827973.925002375,0.0016018383398925806
2013,-2,6813102,547980.0851970181,735587.2,0.9739909799787007,1.00270346875,JIP_SNA_equal_weight,15.734358081021982,13.213994224388452,13.508424370799625,-0.02635323618463883,0.0026998209513530093,0.9718832077827366,15.744198110226963,6880474.050514889,-0.009840029204980283
2014,-1,6836083,553105.3403141361,740014.3,0.9661222876439791,0.97542102665,JIP_SNA_equal_weight,15.737725464747186,13.22330375117777,13.514424789317964,-0.0344648610177267,-0.024886078987538127,0.985841370496662,15.749072909045053,6914096.862923927,-0.011347444297866716
2015,0,6843738,562940.2051282051,748231.3,0.9508047300512821,1,JIP_SNA_equal_weight,15.738844631554853,13.240928693893844,13.525467433755471,-0.050446568696438376,0,1,15.76571950692263,7030156.37098364,-0.026874875367777662
2016,1,6877610,566738.6340468909,755926.3,0.9560770346585119,0.9904029376,JIP_SNA_equal_weight,15.743781765836895,13.247653513553576,13.53569916363704,-0.044916788990416685,-0.0096434109818908,1.0143619753918474,15.762018566308086,7004186.266293891,-0.018236800471191472
2017,2,6941062,576064.2201834864,763930.4,0.9626830610601427,1.0044679415,JIP_SNA_equal_weight,15.752965346712312,13.263974426837212,13.54623196452241,-0.03803103759541307,0.004457989880534917,1.0289302171208505,15.767318203645477,7041404.447671014,-0.014352856933165015
2018,3,7029464,580768.8775510205,774702.1,0.985489252755102,0.95140324185,JIP_SNA_equal_weight,15.765621016214357,13.27210815557319,13.560233847343053,-0.014617057821629802,-0.049817287537585526,1.0437076875790683,15.757171788783745,6970320.669524173,0.008449227430611828
2019,4,6945750,579369.807497467,783363.9,0.996432731408308,0.9109905609000001,JIP_SNA_equal_weight,15.753640519700625,13.269696253013926,13.571352617967518,-0.003573646466540586,-0.0932227430272289,1.0586973917043607,15.741912649098465,6864766.950347187,0.01172787060215974
2020,5,6710000,554074.4,785491.9,1,0.86156675245,JIP_SNA_equal_weight,15.719109508947865,13.225054252741398,13.574065424721399,0,-0.1490027420344536,1.0739023775914316,15.68770398318471,6502543.611631927,0.03140552576315514
2021,6,6759991,574142.942942943,789000.5,0.9970248302302301,0.8339367949,SNA_only,15.726532116657314,13.260633673816322,13.578522233541372,-0.00297960438535638,-0.18159766498686256,1.089325737111646,15.716594795451272,6693147.470959955,0.009937321206042071
2022,7,6776784,581412.1272365806,794844.7,1.0088279840954273,0.8372201753,SNA_only,15.72901321110035,13.273215125569422,13.585902028642021,0.008789245267398377,-0.17766819015789598,1.1049706065417495,15.716010412073091,6689237.249475714,0.01300279902725876
2023,8,6807723,586139.8667935301,801669.7,0.9759924709800192,0.9789178516,SNA_only,15.733568260981034,13.281313720614516,13.594451956630515,-0.024300406758615264,-0.021307550493251115,1.1208401672016166,15.730644129601153,6787845.400070704,0.002924131379881345
2024,9,6773608.71,584540.0921658986,820134.4,0.9816967778801844,0.9722330637995836,HJ_growth_extension,15.72854454718395,13.27858064978469,13.617223508248923,-0.018472798472826478,-0.028159725692157425,1.1369376461011602,15.717354498135762,6698234.205019444,0.011190049048186879
2025,10,6725069.67528,591584.0463458111,NA,0.9849472352941177,NA,NA,15.721352844034937,13.290559042494063,NA,-0.015167207474199189,NA,1.15326631659653,15.719883949809368,6715198.510890496,0.0014688942255691728
